Name,osm:wikidata,admin,wiki:logs,Wikidata Link,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:no,wiki:label:nb,wiki:label:nn,wiki:label:sv
United Nations Buffer Zone in Cyprus,Q116970,country,"No no label,nb Present,No nn label,sv Present,",https://wikidata.org/wiki/Q116970,"No no label,nb Present,No nn label,sv Present,",Q116970,United Nations Buffer Zone in Cyprus,United Nations Buffer Zone in Cyprus,,,FNs buffersone på Kypros,,FN:s buffertzon på Cypern
Namibia,Q1030,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1030,"No no label,nb Present,nn Present,sv Present,",Q1030,Namibia,Namibia,,,Namibia,Namibia,Namibia
Kenya,Q114,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q114,"No no label,nb Present,nn Present,sv Present,",Q114,Kenya,Kenya,,,Kenya,Kenya,Kenya
Guatemala,Q774,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q774,"No no label,nb Present,nn Present,sv Present,",Q774,Guatemala,Guatemala,,,Guatemala,Guatemala,Guatemala
Nicaragua,Q811,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q811,"No no label,nb Present,nn Present,sv Present,",Q811,Nicaragua,Nicaragua,,,Nicaragua,Nicaragua,Nicaragua
French Southern and Antarctic Lands,Q129003,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q129003,"No no label,nb Present,nn Present,sv Present,",Q129003,French Southern and Antarctic Lands,French Southern and Antarctic Lands,,,De franske sørterritorier,Dei franske sørterritoria,Franska sydterritorierna
Republic of Macedonia,Q221,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q221,"No no label,nb Present,nn Present,sv Present,",Q221,Republic of Macedonia,Republic of Macedonia,,,Republikken Makedonia,Republikken Makedonia,Makedonien
Spratly Islands,Q215664,country,"No no label,nb Present,No nn label,sv Present,",https://wikidata.org/wiki/Q215664,"No no label,nb Present,No nn label,sv Present,",Q215664,Spratly Islands,Spratly Islands,,,Spratlyøyene,,Spratlyöarna
South Sudan,Q958,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q958,"No no label,nb Present,nn Present,sv Present,",Q958,South Sudan,South Sudan,,,Sør-Sudan,Sør-Sudan,Sydsudan
Haiti,Q790,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q790,"No no label,nb Present,nn Present,sv Present,",Q790,Haiti,Haiti,,,Haiti,Haiti,Haiti
Venezuela,Q717,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q717,"No no label,nb Present,nn Present,sv Present,",Q717,Venezuela,Venezuela,,,Venezuela,Venezuela,Venezuela
Guinea,Q1006,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1006,"No no label,nb Present,nn Present,sv Present,",Q1006,Guinea,Guinea,,,Guinea,Guinea,Guinea
Moldova,Q217,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q217,"No no label,nb Present,nn Present,sv Present,",Q217,Moldova,Moldova,,,Moldova,Moldova,Moldavien
Tonga,Q678,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q678,"No no label,nb Present,nn Present,sv Present,",Q678,Tonga,Tonga,,,Tonga,Tonga,Tonga
Madagascar,Q1019,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1019,"No no label,nb Present,nn Present,sv Present,",Q1019,Madagascar,Madagascar,,,Madagaskar,Madagaskar,Madagaskar
Bulgaria,Q219,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q219,"No no label,nb Present,nn Present,sv Present,",Q219,Bulgaria,Bulgaria,,,Bulgaria,Bulgaria,Bulgarien
Coral Sea Islands,Q172216,country,"No no label,nb Present,No nn label,sv Present,",https://wikidata.org/wiki/Q172216,"No no label,nb Present,No nn label,sv Present,",Q172216,Coral Sea Islands,Coral Sea Islands,,,Korallhavøyene,,Korallhavöarna
Senegal,Q1041,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1041,"No no label,nb Present,nn Present,sv Present,",Q1041,Senegal,Senegal,,,Senegal,Senegal,Senegal
Seychelles,Q1042,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1042,"No no label,nb Present,nn Present,sv Present,",Q1042,Seychelles,Seychelles,,,Seychellene,Seychellane,Seychellerna
