osm_id,osm_type,Type,name_en,name_zh_mbx,City,lon,lat,lat-long-dif,name,wikipedia,wikidata,name_zh
2485807590,node,Tourism,Alun-Alun Puputan,普普坦广场,Bali,115.4034515,-8.5348465,,Puputan Monument,,,
2483312803,node,Tourism,Bali Shell Museum,巴厘贝壳博物馆,Bali,115.1867151,-8.7142647,0.396155,Bali Shell Museum,,Q1992789,
1456270342,node,Tourism,Batuan Temple,巴图布兰寺庙,Bali,115.275975,-8.5816605,0.221864,Pura Desa Batuan,,,
1308670079,node,Tourism,Batuan Village,巴图布兰文化村,Bali,115.2765404,-8.5835837,0.002489,Batuan,,Q2536942,
1308721836,node,Tourism,Batubulan Village,巴土布兰村,Bali,115.2613406,-8.6201528,0.051769,Batubulan,,,
4436155291,node,Tourism,Bluepoint,蓝点,Bali,115.0884813,-8.8152998,0.368006,Blue Point,,,
428805386,node,Tourism,botanic garden,巴厘岛植物园,Bali,115.1546208,-8.2768689,5.619743,Bali Botanical Gardens,,Q2563728,
4100128689,node,Tourism,Campuhan Ridge Walk,乌布坎普罕山脊徒步,Bali,115.2547195,-8.5033404,0.32657,Campuhan Ridge Walk,,,
2154599548,node,Tourism,Devil's Tear,恶魔的眼泪,Bali,115.4293397,-8.6907555,0.362035,Devil's Tear,,,
428804451,node,Tourism,Gitgit Waterfall,吉吉瀑布,Bali,115.1382014,-8.2046916,123.342893,Gitgit Waterfall,,Q37648,
386307269,way,Tourism,Jimbaran Fish Market,金巴兰鱼市场,Bali,115.1683654,-8.757016825,0.582489,,,,
240887756,way,Tourism,Kertha Gosa,克龙宫仲裁法庭,Bali,115.4033004,-8.535659,0.456293,Kertha Gosa Pavilion,en:Kertha Gosa Pavilion,Q6394777,
3891185616,node,Tourism,Kintamani Volcano,京打马尼火山,Bali,115.375,-8.242,0.321959,Batur,,,
292801401,node,Tourism,Kintamani Volcano,京打马尼火山,Bali,115.3779603,-8.2394154,0.005545,Gunung Batur,,Q43876,
516165315,node,Tourism,Lembongan,蓝梦岛,Bali,115.44036,-8.6901894,0.513174,Lembongan,,Q1970352,
990891854,node,Tourism,Lovina Beach,罗威那海滩,Bali,115.0254561,-8.1598344,123.185291,Lovina Beach,,Q1872519,
27285940,way,Tourism,Nusa Ceningan,努沙切宁安岛,Bali,115.4462472,-8.703649386,19.543325,Nusa Ceningan,,Q3315165,
273955920,node,Tourism,Padang Bai,八丹拜,Bali,115.5074731,-8.5308443,0.234031,Padangbai,,Q1910262,
457417499,node,Tourism,Pemuteran Bay,佩母德兰湾,Bali,114.6225464,-8.1244942,1.291277,Pegametan Bay,,,
1768296160,node,Tourism,Pura Luhur Uluwatu,乌鲁瓦图神庙,Bali,115.0844048,-8.8292827,1.166647,Pura Luhur Uluwatu,,Q1381933,
1768296160,node,Tourism,Pura Luhur Uluwatu,乌鲁瓦图寺,Bali,115.0844048,-8.8292827,0,Pura Luhur Uluwatu,,Q1381933,
238194818,way,Tourism,Pura Saraswati,乌布水宫,Bali,115.2614972,-8.50591396,0.500461,Pura Taman Saraswati,,,
371346857,way,Tourism,Puri Lukisan Museum,鲁基桑美术馆,Bali,115.2604679,-8.505202757,0.00174,Museum Puri Lukisan,en:Puri Lukisan Museum,Q7261229,
260611610,way,Tourism,Seminyak Beach,水明漾海滩,Bali,115.1520985,-8.683641264,0.286808,Seminyak Beach atardecer.caro,,,
989887758,node,Tourism,Stone Pillar,石柱,Bali,115.2542386,-8.7059752,0.124474,Pura Belanjong,,,
4423187320,node,Tourism,Taman Air Spa Bali,巴厘岛水之恋,Bali,115.1829333,-8.7071715,0.072502,Taman Air Spa,,,
314915373,node,Tourism,Tanah Lot,海神庙,Bali,115.0868739,-8.6212541,0.181977,Pura Tanah Lot,en:Tanah Lot,Q515253,
317207544,node,Tourism,Temple of the Meeting of the Three,普拉桑万提加寺,Bali,115.2952162,-8.5241859,0.30541,Pura Samuan Tiga,,,
4182652970,node,Tourism,The Bali Bombing Memorial,巴厘岛爆炸纪念碑,Bali,115.1744894,-8.7173186,0.31386,Tugu Peringatan Bom Bali,en:2002 Bali bombings,Q86584,
31987148,way,Tourism,Ananta Samakhom Throne Hall,旧国会大厦,Bangkok,100.5130006,13.77171935,37.150527,พระที่นั่งอนันตสมาคม,en:Ananta Samakhom Throne Hall,Q485954,
31987148,way,Tourism,Ananta Samakhom Throne Hall,阿兰达皇家博物馆,Bangkok,100.5130006,13.77171935,0,พระที่นั่งอนันตสมาคม,en:Ananta Samakhom Throne Hall,Q485954,
196107455,way,Tourism,Asiatique The Riverfront,曼谷新天地,Bangkok,100.5026525,13.70457296,0.077494,Asiatique the Riverfront,,Q13026076,
218136534,way,Tourism,Bang Pa-in Royal Palace,邦巴茵行宫,Bangkok,100.5794089,14.23288775,0.605071,พระราชวังบางปะอิน,,Q2522114,
124857541,way,Tourism,Bangkok Dream World,曼谷梦幻乐园,Bangkok,100.6753037,13.99114085,0.337642,ดรีมเวิลด์,,Q3039270,
317219712,way,Tourism,Bangkok Planetarium,曼谷天文馆,Bangkok,100.5827434,13.71951893,0.364182,Bangkok Planetarium,,Q1961555,
25031221,way,Tourism,Bridge Over The River Kwai,桂河大桥,Bangkok,99.50362755,14.0407023,1.400299,สะพานแควใหญ,,,
178329973,way,Tourism,Democracy Monument,民主纪念碑,Bangkok,100.5018546,13.75670234,1.282227,อนุสาวรีย์ประชาธิปไตย,,Q1186076,
373104218,node,Tourism,Erawan Shrine,四面佛,Bangkok,100.540381,13.7443317,0.050897,ศาลท้าวมหาพรหม,,Q1235886,四面佛
4357829394,node,Tourism,Health Land Asoke,曼谷健康天地养生会馆阿索克店）,Bangkok,100.5605645,13.740695,114.30126,Health Land spa massage,,,
