@type,@id,name,name:en,osm:wikipedia,osm:wikidata,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:zh,wiki:label:zh-hans,wiki:label:zh-cn,wiki:label:zh-hant,wiki:label:zh-hk,wiki:label:zh-tw,wiki:label:hi,wiki:label:es,wiki:label:fr,wiki:label:de,wiki:label:ja,wiki:label:ko,wiki:label:ru,wiki:label:pt,wiki:label:ar
node,258513226,Papeete,,fr:Papeete,,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q130800,Papeete,Papeete,,帕皮提,帕皮提,帕皮提,帕皮提,巴比提,巴比提,,Papeete,Papeete,Papeete,パペーテ,파페에테,Папеэте,Papeete,بابيتي
node,2278765663,Vai’ea,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,269261093,Vaitape,,en:Vaitape,,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,No de label,No ja label,No ko label,No ru label,pt Present,No ar label,",Q3498189,Vaitape,Vaitape,,,,,,,,,,Vaitape,,,,,Vaitapé,
node,269268434,Fare,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,269553930,Tiputa,,en:Tiputa,,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,No de label,No ja label,No ko label,No ru label,No pt label,No ar label,",Q7809050,Tiputa,Tiputa,,,,,,,,,,Tiputa,,,,,,
node,214231955,Hanga Roa,,de:Hanga Roa,,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q233369,Hanga Roa,Hanga Roa,,安加罗阿,安加罗阿,安加罗阿,安加羅阿,安加羅阿,安加羅阿,,Hanga Roa,Hanga Roa,Hanga Roa,ハンガロア,항가로아,Ханга-Роа,Hanga Roa,هانجا روا
node,471040194,Vaitahu,,en:Vaitahu,,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,No fr label,No de label,No ja label,No ko label,No ru label,No pt label,No ar label,",Q7908884,Vaitahu,Vaitahu,,,,,,,,,,,,,,,,
node,198432092,Ushuaia,,es:Ushuaia,Q44254,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Ushuaia,Ushuaia,,乌斯怀亚,乌斯怀亚,乌斯怀亚,乌斯怀亚,,,,Ushuaia,Ushuaïa,Ushuaia,ウシュアイア,우수아이아,Ушуая,Ushuaia,أوشويا
node,181356942,Punta Arenas,Punta Arenas,,Q51599,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Punta Arenas,Punta Arenas,,蓬塔阿雷纳斯,,,,,,,Punta Arenas,Punta Arenas,Punta Arenas,プンタ・アレーナス,푼타아레나스,Пунта-Аренас,Punta Arenas,بونتا أريناس
node,3736621516,Puerto Natales,Puerto Natales,,Q1001339,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,No ar label,",,Puerto Natales,Puerto Natales,,納塔萊斯港,,,,,,,Puerto Natales,Puerto Natales,Puerto Natales,プエルト・ナターレス,,Пуэрто-Наталес,Puerto Natales,
