City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia
Bali,OSM,,Tourism,Borobudur Temple Compunds,婆罗浮屠塔,https://batpad.github.io/quick-geocode/?name=Borobudur%20Temple%20Compunds&city=Bali,"https://www.google.com/maps/search/Borobudur+Temple+Compunds,+Bali/",way,122741626,"https://www.google.co.in/maps/place/Borobudur+Temple/@-7.6078718,110.2036416,21z/data=!4m8!1m2!2m1!1sBorobudur+Temple+Compunds!3m4!1s0x2e7a8cf009a7d697:0xdd34334744dc3cb!8m2!3d-7.6078738!4d110.2037513",http://www.openstreetmap.org/?mlat=-7.6078738&mlon=110.2037513#map=18/-7.6078718/110.2036416&layers=D,osm-nominatim,,,Borobudur Temple,,Q42798,
Bali,OSM,,Tourism,Lembongan,蓝梦岛,https://batpad.github.io/quick-geocode/?name=Lembongan&city=Bali,"https://www.google.com/maps/search/Lembongan,+Bali/",node,516165315,,#N/A,,115.44036,-8.69019,Lembongan,,Q1970352,
Bali,OSM,,Tourism,Lombok,龙目岛,https://batpad.github.io/quick-geocode/?name=Lombok&city=Bali,"https://www.google.com/maps/search/Lombok,+Bali/",node,3849735168,,#N/A,,115.7242,-8.64636,Lombok,,Q7564,
Bali,OSM,,Tourism,Tanah Lot,海神庙,https://batpad.github.io/quick-geocode/?name=Tanah%20Lot&city=Bali,"https://www.google.com/maps/search/Tanah+Lot,+Bali/",node,314915373,,#N/A,,115.08687,-8.62125,Tanah Lot,,Q515253,en:Tanah Lot
Bali,OSM,,Tourism,The Bali Bombing Memorial,巴厘岛爆炸纪念碑,https://batpad.github.io/quick-geocode/?name=The%20Bali%20Bombing%20Memorial&city=Bali,"https://www.google.com/maps/search/The+Bali+Bombing+Memorial,+Bali/",node,4182652970,,#N/A,,115.17449,-8.71732,The Bali Bombing Memorial,,Q86584,en:2002 Bali bombings
Bangkok,OSM,samely,Shopping,Chatuchak Weekend Market,加都加周末市场,https://batpad.github.io/quick-geocode/?name=Chatuchak%20Weekend%20Market&city=Bangkok,"https://www.google.com/maps/search/Chatuchak+Weekend+Market,+Bangkok/",node,4155852093,,#N/A,overpass,100.5510442,13.7996631,,,Q1068311,
Bangkok,OSM,samely,Shopping,Siam Center,暹罗中心,https://batpad.github.io/quick-geocode/?name=Siam%20Center&city=Bangkok,"https://www.google.com/maps/search/Siam+Center,+Bangkok/",way,25701334,,#N/A,overpass,100.5327979,13.7462767,,,Q913929,
Bangkok,OSM,samely,Tourism,Ananta Samakhom Throne Hall,旧国会大厦,https://batpad.github.io/quick-geocode/?name=Ananta%20Samakhom%20Throne%20Hall&city=Bangkok,"https://www.google.com/maps/search/Ananta+Samakhom+Throne+Hall,+Bangkok/",way,31987148,,#N/A,google,100.5128184,13.77159211,,,Q485954,en:Ananta Samakhom Throne Hall
Bangkok,OSM,samely,Tourism,Ananta Samakhom Throne Hall,阿兰达皇家博物馆,https://batpad.github.io/quick-geocode/?name=Ananta%20Samakhom%20Throne%20Hall&city=Bangkok,"https://www.google.com/maps/search/Ananta+Samakhom+Throne+Hall,+Bangkok/",way,31987148,,#N/A,overpass,100.5131076,13.7716901,,,Q485954,en:Ananta Samakhom Throne Hall
Bangkok,OSM,samely,Tourism,Bang Pa-in Royal Palace,邦巴茵行宫,https://batpad.github.io/quick-geocode/?name=Bang%20Pa-in%20Royal%20Palace&city=Bangkok,"https://www.google.com/maps/search/Bang+Pa-in+Royal+Palace,+Bangkok/",way,218136534,,#N/A,google,100.5796517,14.23250006,,,Q2522114,
