City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia,gv,sco,scn,sr-ec,wuu,vmf,nan,sr-el,cdo,gu,got,zh-hk,gd,pt-br,ga,gn,gl,hak,lb,kk-cn,vep,la,ln,lo,xmf,tr,nap,li,lv,lt,jam,tk,th,tg,te,sgs,pcd,ta,yi,lrc,ceb,yo,kk-kz,de,da,za,lzh,pdc,hif,rm,dv,qu,vls,bar,zh-hans,eml,kn,de-ch,zh-hant,map-bms,mhr,diq,el,eo,en,zh,pms,ee,arz,kaa,kk-tr,arc,kk-cyrl,eu,et,wo,es,ba,en-gb,ru,rw,kl,ak,zh-cn,new,ro,dsb,bn,hsb,be,bg,ms,wa,ast,zh-sg,bm,jv,bo,rue,br,bs,ja,fit,ace,ilo,oc,ltg,be-tarask,tw,de-at,krc,nds,yue,tt,udm,co,nso,bjn,ca,lmo,ce,cy,ang,csb,cs,cv,frc,ps,srn,pt,zh-tw,tl,frr,pa,xal,crh-latn,fo,war,pl,vec,hy,nrm,hr,iu,zh-my,ht,hu,gan,hi,gag,zh-mo,pnb,bug,he,mg,kk-latn,fur,kw,uz,ml,azb,mn,mk,ur,zea,mt,stq,uk,mr,ug,mwl,my,prg,sah,bho,af,vi,is,am,it,an,as,ar,km,io,av,ia,szl,az,ie,id,nds-nl,pap,nl,nn,min,na,nb,gan-hans,gan-hant,ne,lij,nah,kk-arab,cbk-zam,vo,pag,zu,ksh,pam,kab,fr,ku,lad,fy,frp,fa,mai,fi,mzn,gom,ab,ky,en-ca,bcl,ka,kg,gsw,ckb,kk,sr,sq,ko,sv,su,or,sk,si,sh,so,mrj,sl,sc,sa,rgn,sw,se,sd
Bali,OSM,,Hotel,InterContinental Bali Resort,洲际巴厘岛酒店,https://batpad.github.io/quick-geocode/?name=InterContinental%20Bali%20Resort&city=Bali,"https://www.google.com/maps/search/InterContinental+Bali+Resort,+Bali/",way,132239458,,#N/A,,115.16752,-8.77937,InterContinental Bali,,Q6045916,en:Intercontinental Hotel Bali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intercontinental Hotel Bali,,,,,,,,,,,,Hotel Intercontinental Bali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intercontinental Hotel Bali,,,,,,,,,,,,,,,,,,,,,Intercontinental Hotel Bali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Bali Shell Museum,巴厘贝壳博物馆,https://batpad.github.io/quick-geocode/?name=Bali%20Shell%20Museum&city=Bali,"https://www.google.com/maps/search/Bali+Shell+Museum,+Bali/",node,2483312803,,#N/A,,115.18672,-8.71426,Bali Shell Museum,,Q1992789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bali Museum,,,,,,,,,,,,,,,Музей Бали,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Музей Балі,,,,,,,,,,,,,,,,,,,,,,,Museum Bali,,,Bali Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Batuan Village,巴图布兰文化村,https://batpad.github.io/quick-geocode/?name=Batuan%20Village&city=Bali,"https://www.google.com/maps/search/Batuan+Village,+Bali/",node,1308670079,,#N/A,,115.27654,-8.58358,Batuan Village,,Q2536942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batuan,,,,,,,,,,,,,,,,,,,,,"Batuan, Bali",,,,,,,,,,,,,,,,,,,,,,,,,,,Batuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batuan,,,,,,,,,,,,,,,,,,Batuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Borobudur Temple Compunds,婆罗浮屠塔,https://batpad.github.io/quick-geocode/?name=Borobudur%20Temple%20Compunds&city=Bali,"https://www.google.com/maps/search/Borobudur+Temple+Compunds,+Bali/",way,122741626,"https://www.google.co.in/maps/place/Borobudur+Temple/@-7.6078718,110.2036416,21z/data=!4m8!1m2!2m1!1sBorobudur+Temple+Compunds!3m4!1s0x2e7a8cf009a7d697:0xdd34334744dc3cb!8m2!3d-7.6078738!4d110.2037513",http://www.openstreetmap.org/?mlat=-7.6078738&mlon=110.2037513#map=18/-7.6078718/110.2036416&layers=D,osm-nominatim,,,Borobudur Temple,,Q42798,,,,,,,,,,,બોરોબુદુર મંદિર સંકુલ,,,,Borobudur,,,,,,,,,,,,,,,Borobudura,Borobuduras,,,โบโรบูดูร์,,బోరోబుదూర్,,,போரோபுதூர்,,,,,,Borobudur,Borobudur,,,,,,,,,,,,,Borobudur,,,,,Μπορομπουντούρ,Borobuduro,Borobudur,婆羅浮屠,,,,,,,,Borobudur,,,Borobudur,,Borobudur,Боробудур,,,,,,Borobudur,,বড়বুদুর,,Барабудур,Боробудур,Borobudur,,,,,Candhi Barabudhur,,,,,ボロブドゥール遺跡,,,,Borobudur,,,,,,,婆羅浮屠,,,,,,Borobudur,,,Borobudur,,,Borobudur,,,,,Borobudur,,Borobudur,,,,,,Borobudur,Borobudur,,Բորոբուդուր,,Borobudur,,,,Borobudur,,बोरोबुदुर,,,,,בורובודור,,,,,,ബോറോബുദർ,,Боробудур,,,,,,Боробудур,बोरोबदूर,,,ဗောရောဗုဓော,,,,,Borobudur,Borobudur,,Borobudur,,,بوروبودور,,,,,,,,Borobudur,,,Borobudur,,Borobudur,,Borobudur,,,,,,,,,,,,,,Borobudur,,,,,بوروبودور,,Borobudur,,,,,Borobudur,,ბორობუდური,,,,,Борободур,Borobudur,보로부두르,Borobudur,Candi Borobudur,,Borobudur,බොරෝබුදූර්,Borobudur,,,Borobudur,,बोरोबुदुर्,,,,
Bali,OSM,,Tourism,botanic garden,巴厘岛植物园,https://batpad.github.io/quick-geocode/?name=botanic%20garden&city=Bali,"https://www.google.com/maps/search/botanic+garden,+Bali/",node,428805386,,#N/A,,115.15462,-8.27687,botanic garden,,Q2563728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bali Botanic Garden,,,,,,,,,,,,Jardín Botánico Bali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kebun Raya Bali,,,Kebun Raya Bali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Elephant Safari Park,大象野生动物园,https://batpad.github.io/quick-geocode/?name=Elephant%20Safari%20Park&city=Bali,"https://www.google.com/maps/search/Elephant+Safari+Park,+Bali/",node,1374638551,"https://www.google.com.pe/maps/place/Elephant+Safari+Park+Lodge+Bali/@-8.3912369,115.2815726,16.25z/data=!4m5!3m4!1s0x2dd218d1a0ba5a03:0x165ad32430c70f14!8m2!3d-8.391231!4d115.283967?hl=en",http://www.openstreetmap.org/?mlat=-8.391231&mlon=115.283967?hl=en#map=18/-8.3912369/115.2815726&layers=D,,,,Elephant Safari Park,,Q4850846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bali Safari and Marine Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taman Safari Indonesia 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Gitgit Waterfall,吉吉瀑布,https://batpad.github.io/quick-geocode/?name=Gitgit%20Waterfall&city=Bali,"https://www.google.com/maps/search/Gitgit+Waterfall,+Bali/",node,428804451,,#N/A,,115.1382,-8.20469,Gitgit Waterfall,,Q37648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Шаршараи Гитгит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gitgit Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ギギッ滝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,گٹ گٹ آبشار,,,,,,,,,,,,,,,,,,,,,,,,,,,Air terjun Gitgit,,,,,,,,,,,,,,,,,,,,,,,,,,آبشار گیت‌گیت,,,ئوشار گیت‌گیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Kertha Gosa,克龙宫仲裁法庭,https://batpad.github.io/quick-geocode/?name=Kertha%20Gosa&city=Bali,"https://www.google.com/maps/search/Kertha+Gosa,+Bali/",way,240887756,,#N/A,,115.4032819,-8.535656006,Kertha Gosa,,Q6394777,en:Kertha Gosa Pavilion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kertha Gosa Pavilion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Kintamani Volcano,京打马尼火山,https://batpad.github.io/quick-geocode/?name=Kintamani%20Volcano&city=Bali,"https://www.google.com/maps/search/Kintamani+Volcano,+Bali/",node,292801401,,#N/A,,115.375,-8.242000005,Kintamani Volcano,,Q43876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batur,,,,,,,,,,,,,,,,,,,,Monto Batur,Mount Batur,,,,,,,,,,Batur,,,,,Гунунг-Батур,,,,,,,,,,,,,,,,,Gunung Batur,,,,,バトゥール山,,,,,,,,,,,,,,,,,,,,,,,Batur,,,,,,,,,,,,,,Batur,,,,,,,,,,बतुर पर्वत,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunung Batur,,,Gunung Batur,Batur,,,,,,,,,,,,,,,,,Batur,,,,,,,,,,,,,,,,,,,,,,,,,Batur,,,,,,,,,,,
Bali,OSM,,Tourism,Lembongan,蓝梦岛,https://batpad.github.io/quick-geocode/?name=Lembongan&city=Bali,"https://www.google.com/maps/search/Lembongan,+Bali/",node,516165315,,#N/A,,115.44036,-8.69019,Lembongan,,Q1970352,,,,,,,,,,,,,倫邦岸島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nusa Lembongan,,,Nusa Lembongan,,,,,,,,,,,伦邦岸岛,,,,倫邦岸島,,,,,,Nusa Lembongan,倫邦岸島,,,,,,,,,,,,,,Нуса-Лембонган,,,,,,,,,,,,,,,,,,,,,,レンボンガン島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ليمبونغان,,,,,,,,Nusa Lembongan,,,Nusa Lembongan,,,,,,,,,,,,,,,,,,Nusa Lembongan,,,,,,,,,,,,,,,,,,,,,,Nusa Lembongan,,,,,,,,,,,,,,
