City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia
Bali,OSM,,Hotel,InterContinental Bali Resort,洲际巴厘岛酒店,https://batpad.github.io/quick-geocode/?name=InterContinental%20Bali%20Resort&city=Bali,"https://www.google.com/maps/search/InterContinental+Bali+Resort,+Bali/",way,132239458,,#N/A,,115.16752,-8.77937,InterContinental Bali,,,en:Intercontinental Hotel Bali
Bali,OSM,,Tourism,Kertha Gosa,克龙宫仲裁法庭,https://batpad.github.io/quick-geocode/?name=Kertha%20Gosa&city=Bali,"https://www.google.com/maps/search/Kertha+Gosa,+Bali/",way,240887756,,#N/A,,115.4032819,-8.535656006,Kertha Gosa,,,en:Kertha Gosa Pavilion
Bali,OSM,,Tourism,Puri Lukisan Museum,鲁基桑美术馆,https://batpad.github.io/quick-geocode/?name=Puri%20Lukisan%20Museum&city=Bali,"https://www.google.com/maps/search/Puri+Lukisan+Museum,+Bali/",way,371346857,,#N/A,,115.2602944,-8.505112565,Puri Lukisan Museum,,,en:Puri Lukisan Museum
Bali,OSM,,Tourism,Tanah Lot,海神庙,https://batpad.github.io/quick-geocode/?name=Tanah%20Lot&city=Bali,"https://www.google.com/maps/search/Tanah+Lot,+Bali/",node,314915373,,#N/A,,115.08687,-8.62125,Tanah Lot,,,en:Tanah Lot
Bali,OSM,,Tourism,The Bali Bombing Memorial,巴厘岛爆炸纪念碑,https://batpad.github.io/quick-geocode/?name=The%20Bali%20Bombing%20Memorial&city=Bali,"https://www.google.com/maps/search/The+Bali+Bombing+Memorial,+Bali/",node,4182652970,,#N/A,,115.17449,-8.71732,The Bali Bombing Memorial,,Q86584,en:2002 Bali bombings
Bangkok,OSM,samely,Tourism,Ananta Samakhom Throne Hall,旧国会大厦,https://batpad.github.io/quick-geocode/?name=Ananta%20Samakhom%20Throne%20Hall&city=Bangkok,"https://www.google.com/maps/search/Ananta+Samakhom+Throne+Hall,+Bangkok/",way,31987148,,#N/A,google,100.5128184,13.77159211,,,,en:Ananta Samakhom Throne Hall
Bangkok,OSM,samely,Tourism,Ananta Samakhom Throne Hall,阿兰达皇家博物馆,https://batpad.github.io/quick-geocode/?name=Ananta%20Samakhom%20Throne%20Hall&city=Bangkok,"https://www.google.com/maps/search/Ananta+Samakhom+Throne+Hall,+Bangkok/",way,31987148,,#N/A,overpass,100.5131076,13.7716901,,,,en:Ananta Samakhom Throne Hall
Bangkok,OSM,samely,Tourism,Vimanmek Mansion,维曼默宫,https://batpad.github.io/quick-geocode/?name=Vimanmek%20Mansion&city=Bangkok,"https://www.google.com/maps/search/Vimanmek+Mansion,+Bangkok/",way,31987914,,#N/A,overpass,100.5123285,13.7741306,,,,en:Vimanmek Mansion
Bangkok,OSM,samely,Tourism,Vimanmek Teak Mansion,柚木宫,https://batpad.github.io/quick-geocode/?name=Vimanmek%20Teak%20Mansion&city=Bangkok,"https://www.google.com/maps/search/Vimanmek+Teak+Mansion,+Bangkok/",way,31987914,,#N/A,google,100.5122081,13.77418535,,,,en:Vimanmek Mansion
Bangkok,OSM,samely,Tourism,Wat Phra Kaew,玉佛寺,https://batpad.github.io/quick-geocode/?name=Wat%20Phra%20Kaew&city=Bangkok,"https://www.google.com/maps/search/Wat+Phra+Kaew,+Bangkok/",way,230010054,,#N/A,google,100.492392,13.75135716,,,,en:Wat Phra Kaew
Chiang Mai,OSM,piligab,Tourism,Wat Lok Molee,罗摩利寺,https://batpad.github.io/quick-geocode/?name=Wat%20Lok%20Molee&city=Chiang%20Mai,"https://www.google.com/maps/search/Wat+Lok+Molee,+Chiang+Mai/",node,1030600276,,#N/A,overpass,,,,,,th:วัดโลกโมฬี
Hanoi,OSM,Abhishek,Shopping,Parkson Keangnam,江南百盛,https://batpad.github.io/quick-geocode/?name=Parkson%20Keangnam&city=Hanoi,"https://www.google.com/maps/search/Parkson+Keangnam,+Hanoi/",way,339940207,"https://www.google.co.in/maps/place/Parkson+Keangnam/@21.0172037,105.7834182,21z/data=!4m13!1m7!3m6!1s0x3135ab5518dd4a0b:0xca427ff05a36edbb!2sParkson+Keangnam!3b1!8m2!3d21.0171658!4d105.7834733!3m4!1s0x3135ab5518dd4a0b:0xca427ff05a36edbb!8m2!3d21.0171658!4d105.7834733",http://www.openstreetmap.org/?mlat=21.0171658&mlon=105.7834733!3m4!1s0x3135ab5518dd4a0b:0xca427ff05a36edbb!8m2!/?mlat=21.0171658&mlon=105.7834733!3m4!1s0x3135ab5518dd4a0b:0xca427ff05a36edbb!8m2!/?mlat=21.0171658&mlon=105.7834733#map=18/21.0172037/105.7834182&layers=D,google,,,,,,en:Keangnam Hanoi Landmark Tower
Hanoi,OSM,Abhishek,Tourism,48 Hang Ngang House,48号横行街民居,https://batpad.github.io/quick-geocode/?name=48%20Hang%20Ngang%20House&city=Hanoi,"https://www.google.com/maps/search/48+Hang+Ngang+House,+Hanoi/",node,445345255,,#N/A,osm-nominatim,,,,,,vi:Nhà 48 Hàng Ngang
Hanoi,OSM,karitop,Tourism,Hoa Lo Prison Museum,火炉监狱,https://batpad.github.io/quick-geocode/?name=Hoa%20Lo%20Prison%20Museum&city=Hanoi,"https://www.google.com/maps/search/Hoa+Lo+Prison+Museum,+Hanoi/",way,340128580,,#N/A,overpass,,,,"name in osm ""Phủ Chủ Tịch""",,en:Hỏa Lò Prison
Hanoi,OSM,karitop,Tourism,Hoàn Kiem,还剑湖,https://batpad.github.io/quick-geocode/?name=Hoàn%20Kiem&city=Hanoi,"https://www.google.com/maps/search/Hoàn+Kiem,+Hanoi/",way,9566396,,#N/A,google,,,,"name in osm ""Hồ Hoàn Kiếm""",,en:Thuận Thiên (sword)
Hanoi,OSM,karitop,Tourism,Temple of Literature,文庙,https://batpad.github.io/quick-geocode/?name=Temple%20of%20Literature&city=Hanoi,"https://www.google.com/maps/search/Temple+of+Literature,+Hanoi/",node,309683951,,#N/A,overpass,105.8361148,21.0291422,,,Q1202019,"en:Văn Miếu - Quốc Tử Giám, Hanoi"
Hanoi,OSM,karitop,Tourism,The National Convention Center of Vietnam,越南国家会议中心,https://batpad.github.io/quick-geocode/?name=The%20National%20Convention%20Center%20of%20Vietnam&city=Hanoi,"https://www.google.com/maps/search/The+National+Convention+Center+of+Vietnam,+Hanoi/",node,534907063,,#N/A,overpass,,,,,,en:Vietnam National Convention Center
Istanbul,OSM,arun,Hotel,Hilton Istanbul Bosphorus,希尔顿伊斯坦布尔酒店,https://batpad.github.io/quick-geocode/?name=Hilton%20Istanbul%20Bosphorus&city=Istanbul,"https://www.google.com/maps/search/Hilton+Istanbul+Bosphorus,+Istanbul/",way,26970154,,#N/A,quick-geocode,,,,,,en:Hilton Istanbul Bosphorus
Istanbul,OSM,Bharata,Restaurant,Seasons Restaurant,四季餐厅,https://batpad.github.io/quick-geocode/?name=Seasons%20Restaurant&city=Istanbul,"https://www.google.com/maps/search/Seasons+Restaurant,+Istanbul/",way,164590120,"https://www.google.co.in/maps/place/Seasons+Restaurant/@41.0066043,28.980134,21z/data=!4m13!1m7!3m6!1s0x14cab9bc45ca8d25:0x176035b2e8fc74c9!2sSeasons+Restaurant!3b1!8m2!3d41.0066174!4d28.9802251!3m4!1s0x14cab9bc45ca8d25:0x176035b2e8fc74c9!8m2!3d41.0066174!4d28.9802251",http://www.openstreetmap.org/?mlat=41.0066174&mlon=28.9802251!3m4!1s0x14cab9bc45ca8d25:0x176035b2e8fc74c9!8m2!/?mlat=41.0066174&mlon=28.9802251!3m4!1s0x14cab9bc45ca8d25:0x176035b2e8fc74c9!8m2!/?mlat=41.0066174&mlon=28.9802251#map=18/41.0066043/28.980134&layers=D,google,,,,,,tr:Sultanahmet Cezaevi
Istanbul,OSM,abhishek,Shopping,Haseki Hamam Carpet & Kilim Sales Store,Haseki地毯店,https://batpad.github.io/quick-geocode/?name=Haseki%20Hamam%20Carpet%20&%20Kilim%20Sales%20Store&city=Istanbul,"https://www.google.com/maps/search/Haseki+Hamam+Carpet+&+Kilim+Sales+Store,+Istanbul/",way,151790453,,#N/A,google,,,,Googgle  to OSM,,tr:Haseki Hamamı
Istanbul,OSM,abhishek,Tourism,Anniversary of Atatürk's Death,土耳其之父---阿塔图尔卡逝世周年纪念,https://batpad.github.io/quick-geocode/?name=Anniversary%20of%20Atatürk's%20Death&city=Istanbul,"https://www.google.com/maps/search/Anniversary+of+Atatürk's+Death,+Istanbul/",node,34668145,,#N/A,osm-nominatim,,,Anıtkabir,,,tr:Anıtkabir
Istanbul,OSM,arun,Tourism,Arena,竞技场,https://batpad.github.io/quick-geocode/?name=Arena&city=Istanbul,"https://www.google.com/maps/search/Arena,+Istanbul/",way,342828509,,#N/A,quick-geocode,,,,,,en:Türk Telekom Arena
Istanbul,OSM,arun,Tourism,Ayasofya Hurrem Sultan Hamam,圣索菲亚许蕾姆苏丹土耳其浴,https://batpad.github.io/quick-geocode/?name=Ayasofya%20Hurrem%20Sultan%20Hamam&city=Istanbul,"https://www.google.com/maps/search/Ayasofya+Hurrem+Sultan+Hamam,+Istanbul/",way,151790453,,#N/A,quick-geocode,,,,,,tr:Haseki Hamamı
Istanbul,OSM,ramya,Tourism,Basilica Cistern,地下水宫,https://batpad.github.io/quick-geocode/?name=Basilica%20Cistern&city=Istanbul,"https://www.google.com/maps/search/Basilica+Cistern,+Istanbul/",way,180546853,,#N/A,quick-geocode,,,,,,tr:Yerebatan Sarnıcı
Istanbul,OSM,jothi,Tourism,Baths of Lady Hürrem,克赛拉娜浴室,https://batpad.github.io/quick-geocode/?name=Baths%20of%20Lady%20Hürrem&city=Istanbul,"https://www.google.com/maps/search/Baths+of+Lady+Hürrem,+Istanbul/",way,151790453,,#N/A,,,,,,,tr:Haseki Hamamı
Istanbul,OSM,arun,Tourism,Beyazit Mosque,巴耶塞特二世清真寺,https://batpad.github.io/quick-geocode/?name=Beyazit%20Mosque&city=Istanbul,"https://www.google.com/maps/search/Beyazit+Mosque,+Istanbul/",relation,4429647,,#N/A,overpass,,,,,,en:Bayezid II Mosque
