City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia,gv,sco,scn,sr-ec,wuu,vmf,nan,sr-el,cdo,gu,got,zh-hk,gd,pt-br,ga,gn,gl,hak,lb,kk-cn,vep,la,ln,lo,tt,tr,nap,li,lv,lt,jam,tk,th,tg,udm,sgs,pcd,ta,yi,ceb,yo,kk-kz,de,da,lzh,pdc,hif,rm,dv,qu,vls,bar,zh-hans,eml,kn,de-ch,zh-hant,map-bms,mhr,diq,el,eo,en,zh,pms,ee,arz,fr,kk-tr,arc,kk-cyrl,eu,et,wo,es,ba,en-gb,ru,rw,kl,ak,zh-cn,new,ro,dsb,bn,hsb,be,bg,uk,wa,ast,zh-sg,bm,jv,bo,rue,br,bs,ja,fit,ace,ilo,oc,ltg,be-tarask,tw,de-at,nds,yue,xmf,co,nso,ca,lmo,ce,cy,ang,csb,cs,cv,frc,ps,srn,pt,zh-tw,tl,frr,pa,xal,crh-latn,fo,war,pl,vec,hy,nrm,hr,iu,zh-my,ht,hu,gan,hi,gag,zh-mo,pnb,bug,he,mg,kk-latn,fur,kw,uz,ml,azb,mn,mk,ur,zea,te,stq,ms,mr,ug,mwl,my,prg,sah,bho,af,vi,is,am,it,an,as,ar,su,io,av,ia,szl,az,ie,id,nds-nl,pap,nl,nn,min,na,nb,gan-hans,gan-hant,ne,lij,nah,kk-arab,cbk-zam,vo,pag,zu,ksh,pam,kab,kaa,mt,mrj,fy,frp,fa,mai,fi,mzn,gom,ab,sa,en-ca,bcl,ka,kg,gsw,ckb,kk,sr,sq,ko,sv,km,or,sk,si,sh,so,ku,sl,sc,ky,rgn,sw,se,sd
Bali,OSM,,Hotel,InterContinental Bali Resort,洲际巴厘岛酒店,https://batpad.github.io/quick-geocode/?name=InterContinental%20Bali%20Resort&city=Bali,"https://www.google.com/maps/search/InterContinental+Bali+Resort,+Bali/",way,132239458,,#N/A,,115.16752,-8.77937,InterContinental Bali,,,en:Intercontinental Hotel Bali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intercontinental Hotel Bali,,,,,Intercontinental Hotel Bali,,,,,,,Hotel Intercontinental Bali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intercontinental Hotel Bali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Kertha Gosa,克龙宫仲裁法庭,https://batpad.github.io/quick-geocode/?name=Kertha%20Gosa&city=Bali,"https://www.google.com/maps/search/Kertha+Gosa,+Bali/",way,240887756,,#N/A,,115.4032819,-8.535656006,Kertha Gosa,,,en:Kertha Gosa Pavilion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kertha Gosa Pavilion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Puri Lukisan Museum,鲁基桑美术馆,https://batpad.github.io/quick-geocode/?name=Puri%20Lukisan%20Museum&city=Bali,"https://www.google.com/maps/search/Puri+Lukisan+Museum,+Bali/",way,371346857,,#N/A,,115.2602944,-8.505112565,Puri Lukisan Museum,,,en:Puri Lukisan Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puri Lukisan Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Tanah Lot,海神庙,https://batpad.github.io/quick-geocode/?name=Tanah%20Lot&city=Bali,"https://www.google.com/maps/search/Tanah+Lot,+Bali/",node,314915373,,#N/A,,115.08687,-8.62125,Tanah Lot,,,en:Tanah Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Tanah Lot,,,,,,,,,,,,,,,,,,,,Tanah Lot,海神廟,,,,Tanah Lot,,,,,,,,,,Пура Танах Лот,,,,,,,,,,,,Пура Танах Лот,,,,,Tanah Lot,,,,,タナロット寺院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,तनाह लोत,,,,,,,,,,,,,,,,,,,Tanah Lot,,,,,,,,,,,,,,,تاناه لوط,,,,,,,,Tanah Lot,,,Pura Tanah Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,The Bali Bombing Memorial,巴厘岛爆炸纪念碑,https://batpad.github.io/quick-geocode/?name=The%20Bali%20Bombing%20Memorial&city=Bali,"https://www.google.com/maps/search/The+Bali+Bombing+Memorial,+Bali/",node,4182652970,,#N/A,,115.17449,-8.71732,The Bali Bombing Memorial,,Q86584,en:2002 Bali bombings,,,,,,,,,,,,2002年峇里島爆炸案,,,,,,,,,,,,,,2002 Bali saldırıları,,,,,,,เหตุระเบิดในบาหลี พ.ศ. 2545,,,,,2002 பாலி குண்டுவெடிப்புகள்,,,,,Anschlag von Bali 2002,,,,,,,,,,2002年巴厘岛爆炸案,,,,2002年峇里島爆炸案,,,,,,2002 Bali bombings,2002年巴厘島爆炸案,,,,Attentats de Bali,,,,2002ko Baliko atentatuak,,,Atentados de Bali de 2002,,,Террористические акты на Бали,,,,2002年巴厘岛爆炸案,,,,,,,,,,,峇厘岛爆炸案,,Bom Bali 2002,,,,,バリ島爆弾テロ事件,,,,,,,,,,,,,,,,,,,,,,,,,Atentados em Bali em outubro de 2002,2002年峇里島爆炸案,,,,,,,,Zamach na Bali,,,,,,,,,,बाली बम काण्ड २००२,,,,,,,,,,,,,,,,,,,Pengeboman Bali 2002,,,,,,,,,,,,Attentato di Bali del 2002,,,تفجيرات بالي عام 2002,,,,,,,,Bom Bali 2002,,,Bomaanslagen op Bali op 12 oktober 2002,,,,Terrorangrepet på Bali 2002,,,,,,,,,,,,,,,,,,,,,Balin pommi-iskut 2002,,,,,,,,,,,,,,2002년 발리 폭탄 테러,Bombdåden på Bali 2002,,,,,,,,,,,,,,
Bangkok,OSM,samely,Tourism,Ananta Samakhom Throne Hall,旧国会大厦,https://batpad.github.io/quick-geocode/?name=Ananta%20Samakhom%20Throne%20Hall&city=Bangkok,"https://www.google.com/maps/search/Ananta+Samakhom+Throne+Hall,+Bangkok/",way,31987148,,#N/A,google,100.5128184,13.77159211,,,,en:Ananta Samakhom Throne Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,พระที่นั่งอนันตสมาคม,,,,,,,,,,Ananta-Samakhom-Thronhalle,,,,,,,,,,,,,,,,,,,,Ananta Samakhom Throne Hall,阿南达沙玛空皇家御会馆,,,,,,,,,,,,,,Ананда Самакхом,,,,,,,,,,,,,,,,,,,,,,アナンタサマーコム宮殿,,,,,,,,,,,,,,,,,,,,,,,,,Salão do Trono Ananda Samakhom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok,OSM,samely,Tourism,Ananta Samakhom Throne Hall,阿兰达皇家博物馆,https://batpad.github.io/quick-geocode/?name=Ananta%20Samakhom%20Throne%20Hall&city=Bangkok,"https://www.google.com/maps/search/Ananta+Samakhom+Throne+Hall,+Bangkok/",way,31987148,,#N/A,overpass,100.5131076,13.7716901,,,,en:Ananta Samakhom Throne Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,พระที่นั่งอนันตสมาคม,,,,,,,,,,Ananta-Samakhom-Thronhalle,,,,,,,,,,,,,,,,,,,,Ananta Samakhom Throne Hall,阿南达沙玛空皇家御会馆,,,,,,,,,,,,,,Ананда Самакхом,,,,,,,,,,,,,,,,,,,,,,アナンタサマーコム宮殿,,,,,,,,,,,,,,,,,,,,,,,,,Salão do Trono Ananda Samakhom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok,OSM,samely,Tourism,Vimanmek Mansion,维曼默宫,https://batpad.github.io/quick-geocode/?name=Vimanmek%20Mansion&city=Bangkok,"https://www.google.com/maps/search/Vimanmek+Mansion,+Bangkok/",way,31987914,,#N/A,overpass,100.5123285,13.7741306,,,,en:Vimanmek Mansion,,,,,维曼默宫,,,,,,,維曼默宮,,,,,,,,,,,,,,,,,,,,,พระที่นั่งวิมานเมฆ,,,,,,,,,,Wimanmek-Palast,,維曼默宮,,,,,,,,维曼默宫,,,,維曼默宮,,,,,,Vimanmek Mansion,維曼默宮,,,,résidence Vimanmek,,,,,,,,,,Виманмек,,,,,,,,,,,,,,,,,,,,,,ウィマーンメーク宮殿,,,,,,,,,,維曼默宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,維曼默宮,,,,,,ארמון וימנמק,,,,,,,,,,,,,,,,,,,,,,,Cung điện Vimanmek,,,Palazzo Vimanmek,,,,,,,,,,,,,,Vimanmekpaleis,,,,,维曼默宫,維曼默宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok,OSM,samely,Tourism,Vimanmek Teak Mansion,柚木宫,https://batpad.github.io/quick-geocode/?name=Vimanmek%20Teak%20Mansion&city=Bangkok,"https://www.google.com/maps/search/Vimanmek+Teak+Mansion,+Bangkok/",way,31987914,,#N/A,google,100.5122081,13.77418535,,,,en:Vimanmek Mansion,,,,,维曼默宫,,,,,,,維曼默宮,,,,,,,,,,,,,,,,,,,,,พระที่นั่งวิมานเมฆ,,,,,,,,,,Wimanmek-Palast,,維曼默宮,,,,,,,,维曼默宫,,,,維曼默宮,,,,,,Vimanmek Mansion,維曼默宮,,,,résidence Vimanmek,,,,,,,,,,Виманмек,,,,,,,,,,,,,,,,,,,,,,ウィマーンメーク宮殿,,,,,,,,,,維曼默宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,維曼默宮,,,,,,ארמון וימנמק,,,,,,,,,,,,,,,,,,,,,,,Cung điện Vimanmek,,,Palazzo Vimanmek,,,,,,,,,,,,,,Vimanmekpaleis,,,,,维曼默宫,維曼默宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok,OSM,samely,Tourism,Wat Phra Kaew,玉佛寺,https://batpad.github.io/quick-geocode/?name=Wat%20Phra%20Kaew&city=Bangkok,"https://www.google.com/maps/search/Wat+Phra+Kaew,+Bangkok/",way,230010054,,#N/A,google,100.492392,13.75135716,,,,en:Wat Phra Kaew,,,,,,,,,,,,玉佛寺,,,,,,,,,,,,ວັດພຣະແກ້ວ,,,,,,,,,วัดพระศรีรัตนศาสดาราม,,,,,,,,,,Wat Phra Kaeo,Wat Phra Kaew,,,,,,,,,玉佛寺,,,,玉佛寺,,,,,,Wat Phra Kaeo,玉佛寺,,,,Wat Phra Kaew,,,,,,,Templo del Buda de Esmeralda,,Temple of the Emerald Buddha,Ват Пхра Кео,,,,,,,,,,,,,,,,,,,,,,ワット・シーラッタナーサーサダーラーム,,,,,,,,,,,,,,,,,Wat Phra Kaeo,,,Wat Phra Kaeo,,,,,Wat Phra Kaew,,,,ਵਾਟ ਫਰਾ ਕੇਓ,,,,,Wat Phra Kaew w Bangkoku,,,,,,,,,,,,,,,ואט פרה קוו,,,,,,,,,Ват Пра Кео,,,,,,,,,,,,,,Wat Phra Kaew,,,Wat Phra Kaew,,,,,,,,,,,Wat Phra Kaew,,,Wat Phra Kaew,,,,Wat Phra Kaew,,,,,,,,,,,,,,,,,,,,,Wat Phra Kaeo,,,,,,,,,,,,,,왓 프라깨오,,,,,,,,,,,,,,,
